Chromosome Position NCPscore Ratio
chrI 72 1.826 1.02906
chrI 253 2.522 0.5172
chrI 371 5.616 1.75582
chrI 633 2.486 2.88016
chrI 859 2.137 1.68654
chrI 1032 10.085 6.03459
chrI 1199 8.202 6.54382
chrI 1340 17.265 31.11874
chrI 1589 1.43 2.85928
chrI 1763 2.655 5.30992
chrI 1923 3.362 6.72348
chrI 2058 3.474 6.85365
chrI 2242 4.583 3.61721
chrI 2425 2.215 1.81673
chrI 2683 2.291 3.06862
chrI 2836 3.324 2.8055
chrI 3014 3.216 3.37788
chrI 3199 2.964 3.32867
chrI 3382 2.751 2.10264
chrI 3529 1.946 1.82092
chrI 3641 0.568 0.52784
chrI 3764 1.99 1.4314
chrI 3916 2.313 1.22365
chrI 4077 3.063 1.84781
chrI 4238 3.482 1.75326
chrI 4357 1.846 0.66872
chrI 4556 3.799 4.01959
chrI 4727 3.573 2.77465
chrI 4853 1.938 1.38019
chrI 5001 3.244 3.13638
chrI 5131 2.509 3.05246
chrI 5298 4.816 2.88164
chrI 5484 6.67 4.04074
chrI 5661 2.86 1.32977
chrI 5839 2.647 1.68753
chrI 5961 2.437 1.89269
chrI 6123 4.724 7.83809
chrI 6290 2.161 3.18756
chrI 6597 2.345 4.07558
chrI 6778 5.042 6.75313
chrI 6938 1.522 1.53237
chrI 7138 2.033 4.0666
chrI 7311 1.431 0.96287
chrI 7485 4.573 1.42662
chrI 7619 7.278 1.75334
chrI 7784 4.724 1.65409
chrI 7928 3.551 2.9127
chrI 8037 0.927 0.58601
chrI 8196 3.585 1.2987
chrI 8343 3.743 1.52655
chrI 8465 7.342 3.59688
chrI 8650 6.027 3.59183
chrI 8789 4.179 2.46014
chrI 8970 1.782 1.07524
chrI 9140 1.846 1.06978
chrI 9400 4.06 2.04419
chrI 9600 5.016 1.82641
chrI 9754 3.008 1.42123
chrI 9941 2.5 3.06672
chrI 10092 1.2 0.93721
chrI 10297 1.656 1.40529
chrI 10463 2.874 2.79727
chrI 10628 4.752 5.55023
chrI 10792 3.813 3.0418
chrI 10957 3.767 3.12517
chrI 11125 0.95 1.89907
chrI 11360 1.206 2.20185
chrI 11519 5.008 2.7489
chrI 11711 7.038 2.051
chrI 11859 8.022 3.94338
chrI 12019 10.842 4.7392
chrI 12171 11.481 3.79252
chrI 12354 3.173 0.89079
chrI 12508 3.711 0.88965
chrI 12620 3.214 0.8804
chrI 12853 1.697 1.01522
chrI 12993 2.769 2.05179
chrI 13118 1.374 0.78676
chrI 13276 4.848 0.97772
chrI 13384 3.443 0.55669
chrI 13529 5.581 1.15914
chrI 13672 1.972 0.78025
chrI 13862 2.293 3.9851
chrI 14021 6.336 6.85248
chrI 14186 4.265 3.38405
chrI 14414 1.905 1.22513
chrI 14534 2.647 2.13498
chrI 14750 0.647 1.12414
chrI 14878 0.522 1.04322
chrI 14991 0.316 0.63212
chrI 15100 0.989 1.97817
chrI 15214 1.471 1.24897
chrI 15389 4.043 3.66642
chrI 15531 3.074 1.92612
chrI 15713 1.722 2.82445
chrI 15901 2.533 5.06536
chrI 16052 4.391 7.91507
chrI 16229 1.707 1.8325
chrI 16387 1.724 3.40168
chrI 16497 0.522 1.04327
chrI 16646 2.865 1.83463
chrI 16825 2.486 4.9724
chrI 16960 1.581 3.16286
chrI 17166 3.463 2.71823
chrI 17316 2.985 1.91139
chrI 17437 1.143 1.20074
chrI 17709 2.478 2.39568
chrI 17869 5.085 7.20784
chrI 18044 3.111 6.22221
chrI 18220 2.669 5.33782
chrI 18372 4.203 3.7414
chrI 18549 4.806 3.37369
chrI 18726 6.486 5.88151
chrI 18866 1.537 2.87628
chrI 19054 2.305 3.61878
chrI 19240 2.64 2.60383
chrI 19414 6.666 2.58853
chrI 19587 10.662 3.08858
chrI 19778 6.204 3.80559
chrI 20010 3.262 3.69211
chrI 20164 3.098 1.90075
chrI 20379 1.736 2.48449
chrI 20563 0.66 1.32095
chrI 20718 0.64 1.00478
chrI 20890 0.31 0.61952
chrI 21097 0.296 0.59104
chrI 21232 2.103 4.20513
chrI 21384 1.658 1.19269
chrI 21571 2.527 2.20923
chrI 21731 6.477 6.65975
chrI 21885 1.852 1.90412
chrI 22083 3.732 2.018
chrI 22245 8.962 2.98721
chrI 22409 2.288 1.26064
chrI 22585 1.486 1.63079
chrI 22744 1.518 2.38283
chrI 22877 1.678 3.35683
chrI 23046 2.155 4.30956
chrI 23275 1.825 3.64976
chrI 23424 2.965 3.11418
chrI 23588 2.36 3.70541
chrI 23765 0.576 1.15146
chrI 24005 1.847 3.17252
chrI 24134 2.9 2.19386
chrI 24370 5.378 1.90101
chrI 24532 2.67 1.45983
chrI 24679 1.282 0.6521
chrI 24880 2.769 1.14867
chrI 25018 2.891 1.66831
chrI 25141 0.631 0.64394
chrI 25264 1.595 1.25175
chrI 25485 2.365 1.46919
chrI 25620 3.01 1.67115
chrI 25806 2.68 5.3598
chrI 25941 0.413 0.82614
chrI 26076 2.596 3.41521
chrI 26296 2.866 2.40498
chrI 26412 1.247 2.49359
chrI 26566 4.041 8.08249
chrI 26751 8.054 5.29664
chrI 26886 3.064 1.72718
chrI 27021 2.114 2.46925
chrI 27148 1.833 1.16371
chrI 27337 2.84 0.79288
chrI 27512 3.02 1.39983
chrI 27652 2.019 0.82349
chrI 27772 1.74 0.51637
chrI 27955 3.605 1.84687
chrI 28085 0.559 0.70341
chrI 28217 1.061 2.12123
chrI 28342 2.559 4.61223
chrI 28532 2.506 5.01201
chrI 28843 4.217 4.21675
chrI 29026 2.039 1.11096
chrI 29263 2.55 2.64078
chrI 29395 2.468 3.91726
chrI 29522 1.961 3.40866
chrI 29698 1.938 3.87542
chrI 29879 0.296 0.5926
chrI 30126 5.729 5.61323
chrI 30289 2.384 1.02381
chrI 30562 5.109 1.78023
chrI 30727 1.946 0.97635
chrI 30885 0.971 1.75087
chrI 31147 1.515 3.02954
chrI 31337 0.99 1.13856
chrI 31477 1.507 3.01437
chrI 31602 1.369 1.54911
chrI 31812 2.756 1.21207
chrI 31930 3.135 0.78511
chrI 32049 2.983 0.69582
chrI 32251 2.214 0.57098
chrI 32404 2.706 0.92087
chrI 32563 1.714 0.51189
chrI 32746 2.883 0.82696
chrI 33240 2.021 0.63873
chrI 33392 2.868 0.79163
chrI 33551 2.627 0.77797
chrI 33824 4.814 0.93967
chrI 34078 3.091 0.71066
chrI 34681 1.472 0.7335
chrI 34848 2.512 1.19096
chrI 35021 1.4 1.2539
chrI 35185 4.309 2.38275
chrI 35351 3.799 1.0917
chrI 35512 2.477 0.81253
chrI 35734 4.638 1.32242
chrI 35895 2.05 0.48975
chrI 36044 3.682 1.2503
chrI 36177 1.801 0.57652
chrI 36354 1.314 1.3419
chrI 36568 4.524 4.65146
chrI 36746 3.562 2.28066
chrI 36931 3.095 3.32261
chrI 37079 4.574 3.68952
chrI 37242 2.917 5.83342
chrI 37459 3.367 2.71583
chrI 37598 6.685 1.86271
chrI 37756 6.196 1.62412
chrI 37926 3.498 0.92861
chrI 38080 6.474 2.18308
chrI 38232 5.354 2.87394
chrI 38381 2.138 0.79207
chrI 38656 8.639 3.17703
chrI 38815 11.535 4.4436
chrI 38982 7.098 4.8428
chrI 39241 6.785 5.13276
chrI 39403 4.571 4.06908
chrI 39596 2.739 2.24676
chrI 39766 3.049 2.03288
chrI 39897 3.424 2.97541
chrI 40089 3.931 1.38646
chrI 40260 4.532 1.80281
chrI 40369 2.448 0.98988
chrI 40690 2.932 1.01207
chrI 40888 2.956 1.26546
chrI 41010 3.51 1.66937
chrI 41230 4.001 1.58736
chrI 41358 6.213 1.45826
chrI 41589 2.169 0.78378
chrI 41743 2.74 1.49846
chrI 41898 1.773 1.63824
chrI 42069 0.445 0.88997
chrI 42241 1.788 1.41903
chrI 42391 3.047 1.32387
chrI 42552 14.867 4.22303
chrI 42695 9.07 3.47577
chrI 42939 4.398 3.79958
chrI 43083 2.665 1.31888
chrI 43246 2.943 1.0663
chrI 43503 2.952 0.91302
chrI 43619 2.428 0.96587
chrI 43740 1.285 0.51958
chrI 43898 4.432 1.00176
chrI 44122 6.409 1.38829
chrI 44280 7.134 1.68534
chrI 44636 5.142 1.14796
chrI 44839 7.731 1.80603
chrI 45008 5.8 2.04539
chrI 45162 2.369 0.94755
chrI 45343 0.556 0.69404
