Chromosome Position NCPscore Ratio
chrI 13 1.619 0.91263
chrI 69 0.862 0.48573
chrI 72 1.826 1.02906
chrI 79 0.911 0.49825
chrI 83 1.628 0.85819
chrI 253 2.522 0.5172
chrI 370 2.6 0.81288
chrI 371 5.616 1.75582
chrI 389 2.334 0.72038
chrI 633 2.486 2.88016
chrI 638 0.519 0.60192
chrI 640 0.45 0.52194
chrI 642 0.656 0.76624
chrI 649 0.748 0.84638
chrI 651 1.15 1.29187
chrI 654 0.922 1.0359
chrI 665 0.537 0.69943
chrI 692 0.623 1.03338
chrI 701 0.291 0.54422
chrI 710 0.366 0.73227
chrI 711 0.298 0.59693
chrI 714 0.384 0.76805
chrI 842 0.701 0.6866
chrI 852 2.003 1.66117
chrI 853 0.791 0.63835
chrI 858 0.695 0.53995
chrI 859 2.137 1.68654
chrI 862 1.142 0.88216
chrI 865 0.91 0.71812
chrI 872 1.292 0.9481
chrI 873 1.923 1.43998
chrI 879 2.268 1.58432
chrI 880 1.295 0.89582
chrI 883 1.187 0.80199
chrI 893 1.753 1.08939
chrI 894 1.983 1.23169
chrI 903 0.962 0.6055
chrI 1005 0.857 0.48501
chrI 1006 1.268 0.71191
chrI 1013 2.443 1.36671
chrI 1015 2.206 1.23407
chrI 1022 1.093 0.61355
chrI 1027 1.203 0.7168
chrI 1029 1.117 0.66859
chrI 1032 10.085 6.03459
chrI 1035 0.887 0.52635
chrI 1036 1.705 0.98786
chrI 1042 1.574 0.85419
chrI 1044 2.358 1.261
chrI 1051 1.939 1.13689
chrI 1052 2.679 1.56446
chrI 1161 2.38 1.67076
chrI 1164 1.192 0.8833
chrI 1171 6.62 4.90641
chrI 1174 0.69 0.49167
chrI 1180 1.014 0.74791
chrI 1184 4.596 3.49477
chrI 1189 3.657 2.9178
chrI 1191 2.387 1.94693
chrI 1192 0.616 0.49406
chrI 1199 8.202 6.54382
chrI 1245 0.355 0.48959
chrI 1296 0.465 0.82836
chrI 1326 1.118 2.04046
chrI 1327 3.509 6.32572
chrI 1337 1.002 1.78335
chrI 1340 17.265 31.11874
chrI 1341 0.878 1.54485
chrI 1342 0.996 1.71073
chrI 1348 2.854 4.95997
chrI 1349 1.05 1.84782
chrI 1355 0.32 0.62241
chrI 1357 0.783 1.48431
chrI 1358 0.489 0.91547
chrI 1377 0.518 0.83145
chrI 1436 0.252 0.5041
chrI 1487 0.247 0.49477
chrI 1496 0.487 0.97415
chrI 1537 0.305 0.61096
chrI 1563 0.259 0.51738
chrI 1566 1.096 2.19128
chrI 1567 0.705 1.40982
chrI 1568 0.254 0.50823
chrI 1576 0.95 1.90072
chrI 1577 0.417 0.83373
chrI 1583 0.244 0.489
chrI 1587 0.658 1.31635
chrI 1589 1.43 2.85928
chrI 1593 0.569 1.13868
chrI 1604 0.31 0.61952
chrI 1644 0.264 0.52752
chrI 1735 0.474 0.94822
chrI 1736 2.578 5.15641
chrI 1739 0.679 1.35839
chrI 1742 0.585 1.17055
chrI 1753 0.576 1.15279
chrI 1755 1.292 2.58354
chrI 1762 2.092 4.18302
chrI 1763 2.655 5.30992
chrI 1772 0.406 0.81103
chrI 1776 0.349 0.69865
chrI 1784 0.601 1.20255
chrI 1793 0.245 0.49079
chrI 1796 0.292 0.58401
chrI 1887 0.514 1.02769
chrI 1895 0.942 1.88475
chrI 1898 0.267 0.53471
chrI 1904 0.26 0.52034
chrI 1907 0.563 1.125
chrI 1910 0.714 1.42771
chrI 1914 0.428 0.85536
chrI 1923 3.362 6.72348
chrI 1926 1.224 2.44768
chrI 1928 0.487 0.97344
chrI 1935 0.804 1.60822
chrI 1938 0.784 1.56836
chrI 1958 0.28 0.55927
chrI 2037 0.368 0.7357
chrI 2058 3.474 6.85365
chrI 2059 0.618 1.23682
chrI 2065 0.43 0.82625
chrI 2075 0.27 0.53287
chrI 2077 2.181 4.3032
chrI 2079 0.33 0.65139
chrI 2081 0.341 0.6389
chrI 2085 0.741 1.3878
chrI 2087 0.482 0.92536
chrI 2097 0.493 0.8567
chrI 2098 0.422 0.73388
chrI 2101 0.317 0.55146
chrI 2107 0.356 0.5976
chrI 2126 0.287 0.48666
chrI 2139 0.285 0.50077
chrI 2210 1.205 1.18047
chrI 2217 0.545 0.5231
chrI 2221 0.537 0.5022
chrI 2227 3.847 3.34337
chrI 2231 3.686 3.16549
chrI 2233 0.654 0.55849
chrI 2242 4.583 3.61721
chrI 2246 1.313 0.97318
chrI 2248 1.794 1.30307
chrI 2262 3.354 2.20557
chrI 2386 1.491 0.97632
chrI 2405 1.005 0.73384
chrI 2409 0.8 0.60798
chrI 2416 2.011 1.5784
chrI 2422 0.674 0.55908
chrI 2425 2.215 1.81673
chrI 2435 1.952 1.49972
chrI 2472 0.464 0.60493
chrI 2503 0.261 0.52138
chrI 2505 0.309 0.61701
chrI 2511 0.355 0.70938
chrI 2516 0.416 0.83162
chrI 2585 0.273 0.54567
chrI 2650 0.85 1.10768
chrI 2652 0.518 0.6875
chrI 2657 0.394 0.52298
chrI 2661 0.352 0.4853
chrI 2665 1.536 2.0384
chrI 2674 1.363 1.91318
chrI 2679 0.999 1.37584
chrI 2681 1.998 2.7264
chrI 2683 2.291 3.06862
chrI 2685 1.163 1.57219
chrI 2693 1.346 1.77019
chrI 2694 1.39 1.84551
chrI 2701 1.288 1.69447
chrI 2724 0.282 0.48376
